,I1,C2,data_updated,industry_bin,C3_prime
276,HCCI,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
277,HEES,1.0,1,Services,0
278,HEM,1.0,0,Manufacturing,0
279,HERO,1.0,1,Mining,0
280,HGG,1.0,0,Retail Trade,1
281,HIRE,1.0,0,Services,1
282,HITT,1.0,0,Manufacturing,1
283,HLYS,1.0,0,Manufacturing,1
284,HNSN,1.0,1,Manufacturing,0
285,HOO,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
287,HPTX,0.0,1,Manufacturing,0
288,HPY,1.0,0,"Finance, Insurance and Real Estate",1
289,HRZ,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
290,HS,1.0,0,"Finance, Insurance and Real Estate",1
291,HTZ,1.0,0,Services,1
292,HUN,1.0,0,Manufacturing,0
293,HURN,1.0,0,Services,0
294,IBI,1.0,0,Wholesale Trade,0
295,ICFI,1.0,0,Services,1
296,ICPT,1.0,0,Manufacturing,1
297,ICXT,1.0,0,Manufacturing,0
298,IFO,0.0,0,Wholesale Trade,1
299,IKAN,1.0,0,Manufacturing,0
300,IL,1.0,0,Services,0
301,ILSE,1.0,0,Manufacturing,0
302,IMI,1.0,0,Manufacturing,0
303,IMMC,1.0,0,Manufacturing,0
304,INCX,0.0,0,Services,1
305,INET,1.0,0,Services,1
306,INHX,1.0,0,Manufacturing,0
307,INPC,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
308,INVN,1.0,0,Manufacturing,1
309,INWK,1.0,0,Manufacturing,1
310,IOMI,1.0,1,Manufacturing,0
311,IPAS,1.0,0,Services,1
312,IPCM,1.0,0,Services,0
313,IPDN,0.0,0,Services,1
314,IPGP,1.0,0,Manufacturing,1
315,IPHI,1.0,0,Manufacturing,1
316,IPHS,1.0,0,Wholesale Trade,1
317,IPI,1.0,0,Mining,1
318,IPMT,1.0,0,Services,0
319,IRWD,1.0,0,Manufacturing,0
320,ISLN,1.0,0,Manufacturing,0
321,ITC,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
322,ITLN,1.0,0,Manufacturing,0
323,IVII,0.0,0,Services,1
324,IWA,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
325,JOR,1.0,0,Wholesale Trade,0
326,KAR,1.0,0,Wholesale Trade,0
327,KBAY,1.0,0,Services,1
328,KCI,1.0,0,Manufacturing,1
329,KEYW,0.0,0,Services,0
331,KIOR,1.0,1,Manufacturing,0
333,KNOL,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
334,KNTA,0.0,0,Services,0
335,KNXA,0.0,0,Services,0
336,KONA,0.0,0,Retail Trade,1
337,KORS,1.0,0,Manufacturing,1
338,KRA,1.0,0,Manufacturing,1
339,LDIS,1.0,0,Manufacturing,1
340,LGBT,0.0,0,Services,0
341,LHCG,0.0,0,Services,1
342,LIMC,0.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
343,LIMS,0.0,0,Services,1
